Living things;जीवजाल
	Animal kingdom;जंतु राज्य
		Animals;मृगां
			Mammal;सस्तन प्राणी
			Bird;पक्षि,सवणे
			Reptiles and amphibians;चरतल्लीं आनी जलस्थलचर
			Arthropods;संधिपाद प्राणि
			Aquatic animals;जलचर
			Worms and snails;कीडे आनी कोंगे
		Body parts of animals;मृगांचे शरीर भाग
		Animal sounds;मृगांचे शब्द
		Excreta of animals;मृगांची विश्टा
		Animal homes;मृगांचीं घरां
		Animal brood;मृगांचीं पिलां/संतती
		Other words related to animals;मृग संबंधी अन्य शब्द
		Adjective related to animals;मृग संबंधी विशेषण
	Human beings;मनुष्य
		Parts of human body;मनुष्य देहाचीं अवयवां
		Secretions and excretions;स्राव आनी विसर्ज्य
		Disease, illness, malady;रोग,व्याधी
		Symptoms and other disorders;रोग लक्षण आनी इतर अस्वास्थ्यां
		Words related to hair;केस संबंधी उतरां
		Words related to skin;सालि संबंधी उतरां
		Words describing features of body;देहाची विशेषता संबंधी उतरां
		Other words related to human body;मनुष्य देह संबंदी इतर उतरां
	Plant kingdom;वनस्पति राज्य
		Plant life;वनस्पति
		Plants variety;झाडांचे प्रकार
			Flowering plants;फुलांचीं झाडां
				Flowers from trees;रूकांचेर जावंचीं फुलां
				Flowers from shrubs and herbs;सान झाडांचेर जावंचीं फुलां
				Flowers from creepers, bushes;वाल्यांचेर जावंचीं फुलां
				Flowers from aquatic plants;जलसस्यांचेर जावंचीं फुलां
			Fruit plants;फळांचीं झाडां
				Fruits and nuts from trees;रूकार जावंचीं फळां आनी बीयो
				Fruits from creepers and vines;वाल्यांचेर जावंचीं फळां
			Grain and pulses;धान्य आनी बीयो
			Medicinal plants;ओकदा झाडां
				Medicinal trees;ओकदा रूक
				Medicinal shrubs, small trees;ओकदा सान झाडां, रूक
				Medicinal herbs;ओकदा सोपूर झाडां
				Medicinal creepers and vines;ओकदा वाल्यो
			Millets;जंधाळो
			Oilseeds;तेला बीयो
			Spices;सुगंध व्यंजन
			Timber trees;फलवडे रूक
			Vegetables;रांवदयकायेचें
				Leafy vegetables;पाल्यां रांवदयकायेचें
				Vegetables on shrubs;झाडारि जावंचें रांवदयकायेचें
				Vegetables from trees;रुकांरि जावंचें रांवदयकायेचें
				Vegetables from creepers, climbers;वालींचेरि जावंचें रांवदयकायेचें
				Tubers, corms and bulbs used as vegetables;कणंगां आनी मांड्डीं
			Other useful trees, shrubs;इतर उपयोगी रूक, झाडां
		Plant Parts;झाडा भाग
			Parts of plants;झाडांचे भाग
			Parts of jackfruit tree;पोणसा रूकाचे भाग
			Parts of plantain tree;केळीचे भाग
			Parts of betel palm;माड्येचे भाग
			Parts of a coconut palm;माड्याचे भाग
			Parts of a mango tree;आंब्या रूकाचे भाग
			Parts of paddy;भाताचे भाग
		Other words related to plants;झाडां संबंधित इतर उतरां
Non-living things;निर्जीव अथवा जड पदार्थ
	Clothing and jewellery;वस्त्रां आनी आभरण
		Apparel and foot wear;वेष विधान
		Types of sarees;तरातरा कापडां
		Other words related to apparel;वेष विधान संबंधित इतर उतरां
		Fabric or cloth;लुगट वा शीट
		Jewellery;आभूषण,आभरण
		Gems;रत्न
	Housing and living;घर आनी जीवन
		Buildings;इमारत
		Parts of a house or building;घराचे वा इमारताचे भाग
		Rooms of a house;घरा कूडां
		Prayer room;कूडि
		Inside house;घरांतु भितर
			Furniture;फर्णीचर सामग्री
			Other items inside house;घरांतुली इतर सामग्री
			Sleeping paraphernalia in bedroom;न्हिदेंवचें कूडांतुली निदेची सामग्री
		Kitchen;वासरी			
			Items in Kitchen;वासरेंतुलें सामान
			Cooking oils;रांदपा तेल
			Grocery etc.;धान्य वगैरा
			Other items in kitchen;वासरेंतुलें वेगळें सामान
			Residue, remnants;वरलेलें, बाकी
			Utensils and accessories;आयदन पैदन
		Bath room;न्हाणी
		Tools, instruments, weapons;आयदूवां
		Outside house;घरा भायर
Language, food and culture;भास, खाण आनी संस्कारु
	Language;भास
		Baby language;चेर्डु भास
			Baby language nouns;चेरडुवांचे भासेंतुलें नाम पद
			Baby language verbs;चेरडुवांचे भासेंतुलें क्रियापद
			Affectionate words for baby's body parts;चेरडाले शरीर भागांक सांगूचीं ओपुरबायेचीं उतरां
		Words of address;संबोधन शब्द
		Compound words;जोडपद
			Compound adjectives;जोड विशेषण
			Compound adverbs;जोड क्रिया विशेषण
			Compound nouns;जोड संज्ञा
		Echo words;प्रतिध्वनी
		Languages;भासो
		Lexical doublets;शाब्दिक पदजोडी
			Lexical doublet adjectives;शाब्दिक विशेषण जोडी
			Lexical doublet adverbs;शाब्दिक क्रियाविशेषण जोडी
			Lexical doublet nouns;शाब्दिक संज्ञा जोडी
		Proverbs;म्हणी
		Riddles;आळीं
		Reduplicative words;पुनरुक्ति
			Adjective-adjective Reduplication 1;पनरुक्ति विशेषण 1
			Adjective-adjective Reduplication 2;पनरुक्ति विशेषण 2
			Adverb-adverb Reduplication;क्रिया विशेषण पनरुक्ति
			Function Reduplication;उदेश्य पुनरुक्ति
			Noun-noun Reduplication: quantitative 1;पुनरुक्ती संज्ञा 1
			Noun-noun Reduplication: quantitative 2;पुनरुक्ती संज्ञा 2
			Noun-noun Reduplication: quantitative 3;पुनरुक्ती संज्ञा 3
			Numeral numeral Reduplication;संख्या पनरुक्ति
			Possessive Reduplication;संबंधवाचक पनरुक्ति
			Verb-verb Reduplication;क्रियापद पनरुक्ति
		Simile;उपमा
		Case form;विभक्ति
		Idioms;वाकप्रचार
		Imperatives;आदेशक उतरां
			Imperative verbs;आदेशक क्रिया
			Negative imperatives;निषेदात्मक आदेश
			Requesting imperatives;विनंती क्रिया
		Interrogatives;प्रश्नार्थक
			Interrogative phrases;प्रश्नार्थक वाक्य
			Interrogative words;प्रश्नार्थक उतरां
		Opposites, antonyms;विलोम शब्द
		Onomatopoeic words;शब्दानुकरण उतरां
			Onomatopoeic adjectives;शब्दानुकरण- विशेषण
			Onomatopoeic adverbs;शब्दानुकरण- क्रियाविशेषण
			Onomatopoeic nouns;शब्दानुकरण- संज्ञा
			Onomatopoeic verbs;शब्दानुकरण- क्रिया
				Onomatopoeic verbs starting with letter क; क अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter ख; ख अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter ग; ग अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter घ; घ अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter च; च अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letters छ, ज and झ; छ, ज आनी झ अक्षरांची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letters ट, ठ and ड; ट, ठ आनी ड अक्षरांची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letters त, थ, द, ध and न; त, थ, द, ध आनी न अक्षरांची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter प; प अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter फ; फ अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letters ब and भ; ब आनी भ अक्षरांची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter म; म अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letters य, र and ल; य, र आनी ल अक्षरांची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter व; व अक्षराची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letters श, स and ष; श, स आनी ष अक्षरांची शब्दानुकरण क्रिया
				Onomatopoeic verbs starting with letter ह; ह अक्षराची शब्दानुकरण क्रिया
			Future Tense;भविष्य काल
			Immediate Future;आसन्न भविष्य
			Probable Future tense;संभाव्य भविष्य
		Parts of Speech;उतरांचे भेद
			Adjectives;विशेषण
				Adjectives for action;करणी संबंधित विशेषण
				Adjectives for age;प्रायि संबंधित विशेषण 
				Adjectives for appearance;देखाव संबंधित विशेषण
				Adjectives for circumstances;परिस्थिती संबंधित विशेषण
				Adjectives for colour;वर्णु संबंधित विशेषण
				Adjectives for condition of food;खाणाची अवस्था संबंधित विशेषण
				Adjectives for condition of nature;प्रकृतीची अवस्था संबंधित विशेषण
				Adjectives for condition of objects;वस्तूंची अवस्था संबंधित विशेषण
				Adjectives for condition of person;व्यक्तीची अवस्था संबंधित विशेषण
				Adjectives for condition of place;स्थलाची अवस्था संबंधित विशेषण
				Adjectives for direction;गती संबंधित विशेषण
				Adjectives for domicile;आवास संबंधित विशेषण
				Adjectives for emotion or feeling;मनोभाव संबंधित विशेषण
				Adjectives for features for nature;प्रकृतीचीं वैशिष्टां संबंधित विशेषण
				Adjectives for features of food;प्रकृतीचीं वैशिष्टां संबंधित विशेषण
				Adjectives for features of objects;सामानांचीं वैशिष्टां संबंधित विशेषण
				Adjectives for general location;स्थल वा थायु संबंधित विशेषण
				Adjectives for location on body;देहावेलें स्थान संबंधित विशेषण
				Adjectives for material;पदार्थ संबंधित विशेषण
				Adjectives for opinion, perception, impression;अभिप्राय, अनुभव, विचार संबंधित विशेषण
				Adjectives for personality;व्यक्तित्व संबंधित विशेषण
				Adjectives for position;स्थान संबंधित विशेषण
				Adjectives for purpose;प्रयोग संबंधित विशेषण
				Adjectives for quantity;प्रमाण संबंधित विशेषण
